Name,Team,xMLBAMID,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,xAVG,SLG,xSLG
Michael Busch,CHC,683737,155.0,524.0,592.0,137.0,73.0,25.0,5.0,34.0,78.0,90.0,56.0,2.0,139.0,10.0,2.0,0.0,2.0,4.0,0.0,0.261,0.275,0.523,0.569
TJ Friedl,CIN,670770,152.0,579.0,685.0,151.0,113.0,22.0,2.0,14.0,82.0,53.0,81.0,0.0,115.0,16.0,5.0,4.0,7.0,12.0,3.0,0.261,0.237,0.378,0.328
Nick Sogard,BOS,686765,30.0,96.0,104.0,25.0,17.0,8.0,0.0,0.0,13.0,9.0,5.0,0.0,24.0,3.0,0.0,0.0,3.0,2.0,1.0,0.26,0.26,0.344,0.384
James McCann,ARI,543510,42.0,123.0,137.0,32.0,21.0,6.0,0.0,5.0,18.0,17.0,8.0,0.0,33.0,4.0,1.0,1.0,3.0,0.0,0.0,0.26,0.248,0.431,0.428
Nick Gonzales,PIT,693304,96.0,381.0,408.0,99.0,73.0,18.0,3.0,5.0,39.0,30.0,21.0,0.0,73.0,2.0,4.0,0.0,12.0,0.0,2.0,0.26,0.264,0.362,0.379
William Contreras,MIL,661388,150.0,566.0,659.0,147.0,102.0,28.0,0.0,17.0,89.0,76.0,84.0,4.0,120.0,3.0,6.0,0.0,14.0,6.0,4.0,0.26,0.264,0.399,0.409
Corbin Carroll,ARI,682998,143.0,564.0,642.0,146.0,66.0,32.0,17.0,31.0,107.0,84.0,67.0,4.0,153.0,7.0,4.0,0.0,6.0,32.0,6.0,0.259,0.274,0.541,0.545
Zach McKinstry,DET,656716,144.0,452.0,511.0,117.0,71.0,23.0,11.0,12.0,68.0,49.0,46.0,1.0,111.0,7.0,5.0,1.0,6.0,19.0,5.0,0.259,0.252,0.438,0.361
Victor Caratini,HOU,605170,114.0,344.0,386.0,89.0,63.0,14.0,0.0,12.0,35.0,46.0,23.0,0.0,65.0,13.0,6.0,0.0,8.0,1.0,0.0,0.259,0.262,0.404,0.43
Riley Greene,DET,682985,157.0,600.0,655.0,155.0,87.0,31.0,1.0,36.0,84.0,111.0,46.0,1.0,201.0,4.0,5.0,0.0,14.0,2.0,1.0,0.258,0.25,0.493,0.516
Thomas Saggese,STL,695336,82.0,275.0,295.0,71.0,52.0,17.0,0.0,2.0,25.0,25.0,16.0,0.0,83.0,1.0,2.0,1.0,5.0,3.0,0.0,0.258,0.246,0.342,0.359
Mookie Betts,LAD,605141,150.0,589.0,663.0,152.0,107.0,23.0,2.0,20.0,95.0,82.0,61.0,2.0,68.0,3.0,10.0,0.0,15.0,8.0,2.0,0.258,0.276,0.406,0.435
Jordan Beck,COL,687597,148.0,539.0,588.0,139.0,91.0,27.0,5.0,16.0,62.0,53.0,43.0,0.0,174.0,4.0,1.0,0.0,9.0,19.0,8.0,0.258,0.241,0.416,0.405
Jasson Dominguez,NYY,691176,123.0,381.0,429.0,98.0,69.0,18.0,1.0,10.0,58.0,47.0,41.0,1.0,115.0,3.0,4.0,0.0,5.0,23.0,5.0,0.257,0.242,0.388,0.377
Willson Contreras,STL,575929,135.0,490.0,563.0,126.0,74.0,31.0,1.0,20.0,70.0,80.0,44.0,1.0,142.0,23.0,4.0,1.0,15.0,5.0,1.0,0.257,0.268,0.447,0.506
J.T. Realmuto,PHI,592663,134.0,502.0,550.0,129.0,90.0,26.0,1.0,12.0,57.0,52.0,35.0,1.0,129.0,9.0,3.0,0.0,13.0,8.0,2.0,0.257,0.261,0.384,0.422
Zach Neto,LAA,687263,128.0,502.0,554.0,129.0,73.0,29.0,1.0,26.0,82.0,62.0,33.0,6.0,149.0,14.0,3.0,2.0,5.0,26.0,9.0,0.257,0.261,0.474,0.51
CJ Abrams,WSN,682928,144.0,580.0,635.0,149.0,90.0,35.0,5.0,19.0,92.0,60.0,37.0,1.0,125.0,14.0,3.0,1.0,5.0,31.0,3.0,0.257,0.256,0.433,0.415
Javier Baez,DET,595879,126.0,417.0,437.0,107.0,75.0,17.0,3.0,12.0,55.0,57.0,10.0,0.0,109.0,6.0,3.0,0.0,8.0,5.0,1.0,0.257,0.236,0.398,0.369
Bryson Stott,PHI,681082,147.0,499.0,560.0,128.0,90.0,22.0,3.0,13.0,66.0,66.0,54.0,1.0,91.0,1.0,4.0,2.0,4.0,24.0,5.0,0.257,0.252,0.391,0.4
Yainer Diaz,HOU,673237,143.0,542.0,567.0,139.0,93.0,25.0,1.0,20.0,56.0,70.0,20.0,2.0,95.0,2.0,3.0,0.0,13.0,1.0,1.0,0.256,0.279,0.417,0.488
Heliot Ramos,SFG,671218,157.0,620.0,695.0,159.0,113.0,24.0,1.0,21.0,85.0,69.0,52.0,2.0,158.0,17.0,6.0,0.0,16.0,6.0,4.0,0.256,0.254,0.4,0.43
Jarren Duran,BOS,680776,157.0,620.0,696.0,159.0,89.0,41.0,13.0,16.0,86.0,84.0,60.0,1.0,169.0,12.0,3.0,1.0,6.0,24.0,6.0,0.256,0.258,0.442,0.42
Brandon Lowe,TBR,664040,134.0,507.0,553.0,130.0,80.0,19.0,0.0,31.0,79.0,83.0,38.0,1.0,149.0,2.0,6.0,0.0,6.0,3.0,2.0,0.256,0.264,0.477,0.499
Caleb Durbin,MIL,702332,136.0,445.0,506.0,114.0,78.0,25.0,0.0,11.0,60.0,53.0,30.0,0.0,50.0,24.0,4.0,3.0,10.0,18.0,6.0,0.256,0.26,0.387,0.369
Francisco Alvarez,NYM,682626,76.0,246.0,277.0,63.0,39.0,12.0,1.0,11.0,32.0,32.0,27.0,0.0,73.0,4.0,0.0,0.0,6.0,0.0,0.0,0.256,0.237,0.447,0.444
Colt Keith,DET,690993,137.0,414.0,468.0,106.0,69.0,22.0,2.0,13.0,65.0,45.0,48.0,1.0,102.0,2.0,4.0,0.0,7.0,1.0,1.0,0.256,0.267,0.413,0.457
James Wood,WSN,695578,157.0,598.0,689.0,153.0,84.0,38.0,0.0,31.0,87.0,94.0,85.0,8.0,221.0,3.0,3.0,0.0,12.0,15.0,7.0,0.256,0.269,0.475,0.504
Gleyber Torres,DET,650402,145.0,532.0,628.0,136.0,98.0,22.0,0.0,16.0,79.0,74.0,85.0,0.0,101.0,4.0,7.0,0.0,11.0,4.0,1.0,0.256,0.278,0.387,0.473
Kyle Isbel,KCR,664728,135.0,368.0,409.0,94.0,70.0,16.0,4.0,4.0,42.0,33.0,23.0,0.0,74.0,2.0,3.0,13.0,7.0,4.0,5.0,0.255,0.23,0.353,0.3
Nathan Lukes,TOR,664770,135.0,388.0,438.0,99.0,66.0,19.0,2.0,12.0,55.0,65.0,38.0,2.0,60.0,2.0,3.0,7.0,12.0,2.0,4.0,0.255,0.264,0.407,0.397
Ben Rice,NYY,700250,138.0,467.0,530.0,119.0,61.0,28.0,4.0,26.0,74.0,65.0,50.0,0.0,100.0,9.0,2.0,0.0,18.0,3.0,2.0,0.255,0.299,0.499,0.581
Brett Baty,NYM,683146,130.0,393.0,432.0,100.0,67.0,13.0,2.0,18.0,53.0,50.0,33.0,0.0,108.0,2.0,3.0,0.0,6.0,8.0,0.0,0.254,0.263,0.435,0.472
Isaac Paredes,HOU,670623,102.0,378.0,438.0,96.0,60.0,15.0,1.0,20.0,53.0,53.0,50.0,0.0,76.0,8.0,2.0,0.0,10.0,0.0,1.0,0.254,0.241,0.458,0.392
Andrew Vaughn,MIL,683734,112.0,406.0,447.0,103.0,67.0,22.0,0.0,14.0,35.0,65.0,31.0,0.0,80.0,3.0,6.0,1.0,12.0,0.0,0.0,0.254,0.282,0.411,0.487
Chase Meidroth,CHW,805367,122.0,450.0,505.0,114.0,94.0,15.0,0.0,5.0,54.0,23.0,45.0,0.0,72.0,6.0,1.0,3.0,14.0,14.0,4.0,0.253,0.256,0.32,0.333
Griffin Conine,MIA,665052,24.0,79.0,86.0,20.0,11.0,7.0,0.0,2.0,13.0,8.0,7.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.253,0.242,0.418,0.404
Vidal Brujan,ATL,660644,61.0,87.0,95.0,22.0,17.0,5.0,0.0,0.0,14.0,8.0,6.0,0.0,21.0,1.0,1.0,0.0,1.0,2.0,1.0,0.253,0.226,0.31,0.316
Ezequiel Tovar,COL,678662,95.0,360.0,390.0,91.0,60.0,18.0,4.0,9.0,44.0,33.0,21.0,0.0,98.0,1.0,2.0,6.0,2.0,5.0,3.0,0.253,0.271,0.4,0.458
Masyn Winn,STL,691026,129.0,491.0,537.0,124.0,88.0,27.0,0.0,9.0,72.0,51.0,34.0,0.0,102.0,8.0,2.0,2.0,11.0,9.0,5.0,0.253,0.245,0.363,0.352
Rafael Devers,SFG,646240,163.0,607.0,729.0,153.0,85.0,33.0,0.0,35.0,99.0,109.0,112.0,10.0,192.0,6.0,4.0,0.0,16.0,1.0,1.0,0.252,0.256,0.479,0.504
Luis Garcia Jr.,WSN,671277,139.0,488.0,526.0,123.0,78.0,28.0,1.0,16.0,67.0,66.0,27.0,1.0,84.0,2.0,9.0,0.0,7.0,14.0,5.0,0.252,0.291,0.412,0.481
Gavin Sheets,SDP,657757,145.0,492.0,545.0,124.0,76.0,28.0,1.0,19.0,57.0,71.0,44.0,1.0,107.0,5.0,4.0,0.0,9.0,2.0,1.0,0.252,0.272,0.429,0.463
Warming Bernabel,COL,682653,40.0,139.0,146.0,35.0,22.0,8.0,1.0,4.0,15.0,14.0,7.0,0.0,25.0,0.0,0.0,0.0,2.0,1.0,1.0,0.252,0.256,0.41,0.345
Kerry Carpenter,DET,681481,130.0,433.0,464.0,109.0,60.0,18.0,5.0,26.0,66.0,62.0,18.0,0.0,106.0,7.0,2.0,0.0,3.0,1.0,1.0,0.252,0.263,0.497,0.512
Josh Jung,TEX,673962,131.0,482.0,511.0,121.0,83.0,23.0,1.0,14.0,53.0,61.0,27.0,0.0,129.0,2.0,0.0,0.0,10.0,4.0,1.0,0.251,0.254,0.39,0.423
Connor Norby,MIA,681393,88.0,311.0,337.0,78.0,52.0,17.0,1.0,8.0,42.0,34.0,18.0,0.0,90.0,5.0,3.0,0.0,3.0,8.0,2.0,0.251,0.25,0.389,0.431
Freddy Fermin,SDP,666023,109.0,319.0,347.0,80.0,62.0,13.0,0.0,5.0,32.0,26.0,19.0,1.0,65.0,2.0,0.0,7.0,5.0,1.0,2.0,0.251,0.239,0.339,0.346
Josh Smith,TEX,669701,144.0,495.0,563.0,124.0,89.0,23.0,2.0,10.0,70.0,35.0,55.0,2.0,100.0,8.0,1.0,3.0,3.0,12.0,3.0,0.251,0.257,0.366,0.38
Trevor Larnach,MIN,663616,142.0,503.0,567.0,126.0,84.0,24.0,1.0,17.0,62.0,60.0,53.0,2.0,122.0,4.0,6.0,0.0,19.0,4.0,4.0,0.25,0.253,0.404,0.407
Nick Castellanos,PHI,592206,147.0,547.0,589.0,137.0,91.0,27.0,2.0,17.0,72.0,72.0,32.0,0.0,133.0,4.0,6.0,0.0,13.0,4.0,0.0,0.25,0.251,0.4,0.419
Ryan Mountcastle,BAL,663624,89.0,332.0,357.0,83.0,58.0,18.0,0.0,7.0,34.0,35.0,15.0,0.0,98.0,4.0,6.0,0.0,10.0,3.0,0.0,0.25,0.266,0.367,0.445
Miles Mastrobuoni,SEA,670156,76.0,152.0,175.0,38.0,33.0,4.0,0.0,1.0,20.0,12.0,17.0,0.0,29.0,0.0,1.0,5.0,2.0,6.0,3.0,0.25,0.286,0.296,0.38
Eric Wagaman,MIA,676572,140.0,476.0,514.0,119.0,79.0,28.0,3.0,9.0,56.0,53.0,32.0,0.0,100.0,1.0,5.0,0.0,11.0,4.0,1.0,0.25,0.271,0.378,0.437
Alek Thomas,ARI,677950,143.0,433.0,469.0,108.0,77.0,19.0,3.0,9.0,51.0,38.0,21.0,0.0,122.0,5.0,4.0,6.0,2.0,7.0,4.0,0.249,0.25,0.37,0.381
Carson Kelly,CHC,608348,111.0,369.0,421.0,92.0,61.0,13.0,1.0,17.0,48.0,50.0,45.0,0.0,80.0,3.0,4.0,0.0,11.0,2.0,0.0,0.249,0.245,0.428,0.429
Joey Bart,PIT,663698,93.0,285.0,332.0,71.0,54.0,12.0,1.0,4.0,21.0,30.0,40.0,0.0,93.0,7.0,0.0,0.0,14.0,1.0,1.0,0.249,0.232,0.34,0.392
Ceddanne Rafaela,BOS,678882,156.0,546.0,587.0,136.0,82.0,34.0,4.0,16.0,84.0,63.0,28.0,0.0,117.0,8.0,2.0,3.0,9.0,20.0,5.0,0.249,0.252,0.414,0.426
Michael Harris II,ATL,671739,160.0,611.0,641.0,152.0,100.0,26.0,6.0,20.0,55.0,86.0,16.0,1.0,128.0,3.0,7.0,4.0,7.0,20.0,6.0,0.249,0.277,0.409,0.45
Lourdes Gurriel Jr.,ARI,666971,129.0,500.0,546.0,124.0,79.0,24.0,2.0,19.0,52.0,80.0,31.0,0.0,76.0,6.0,9.0,0.0,11.0,10.0,4.0,0.248,0.264,0.418,0.426
Keibert Ruiz,WSN,660688,68.0,255.0,267.0,63.0,49.0,12.0,0.0,2.0,19.0,25.0,8.0,0.0,26.0,3.0,1.0,0.0,4.0,0.0,2.0,0.247,0.274,0.318,0.351
Pete Crow-Armstrong,CHC,691718,157.0,591.0,647.0,146.0,74.0,37.0,4.0,31.0,91.0,95.0,29.0,1.0,155.0,9.0,12.0,6.0,1.0,35.0,8.0,0.247,0.255,0.481,0.496
Donovan Solano,TEX,456781,71.0,166.0,179.0,41.0,33.0,4.0,1.0,3.0,10.0,21.0,8.0,0.0,40.0,3.0,2.0,0.0,9.0,0.0,0.0,0.247,0.229,0.337,0.328
Liam Hicks,MIA,689414,119.0,332.0,390.0,82.0,62.0,13.0,1.0,6.0,37.0,45.0,43.0,0.0,56.0,9.0,3.0,3.0,5.0,2.0,0.0,0.247,0.249,0.346,0.353
Wilyer Abreu,BOS,677800,115.0,373.0,417.0,92.0,53.0,17.0,0.0,22.0,53.0,69.0,40.0,5.0,101.0,0.0,3.0,1.0,8.0,6.0,3.0,0.247,0.252,0.469,0.495
Cal Raleigh,SEA,663728,159.0,596.0,705.0,147.0,63.0,24.0,0.0,60.0,110.0,125.0,97.0,17.0,188.0,9.0,3.0,0.0,6.0,14.0,4.0,0.247,0.244,0.589,0.568
Teoscar Hernandez,LAD,606192,134.0,511.0,546.0,126.0,71.0,29.0,1.0,25.0,65.0,89.0,26.0,0.0,134.0,3.0,5.0,0.0,13.0,5.0,2.0,0.247,0.26,0.454,0.462
Otto Lopez,MIA,672640,143.0,544.0,594.0,134.0,98.0,21.0,0.0,15.0,66.0,77.0,44.0,2.0,82.0,3.0,3.0,0.0,9.0,15.0,6.0,0.246,0.279,0.368,0.447
Jake Cronenworth,SDP,630105,135.0,419.0,515.0,103.0,71.0,20.0,1.0,11.0,61.0,59.0,69.0,1.0,107.0,15.0,7.0,4.0,4.0,3.0,3.0,0.246,0.232,0.377,0.36
Bryan Reynolds,PIT,668804,154.0,587.0,654.0,144.0,87.0,38.0,3.0,16.0,68.0,73.0,57.0,1.0,173.0,7.0,3.0,0.0,15.0,3.0,2.0,0.245,0.271,0.402,0.466
Jurickson Profar,ATL,595777,80.0,318.0,371.0,78.0,47.0,16.0,1.0,14.0,56.0,43.0,48.0,0.0,59.0,5.0,0.0,0.0,4.0,9.0,2.0,0.245,0.239,0.434,0.401
Victor Robles,SEA,645302,32.0,106.0,114.0,26.0,20.0,4.0,1.0,1.0,12.0,9.0,3.0,0.0,26.0,3.0,2.0,0.0,3.0,6.0,2.0,0.245,0.209,0.33,0.297
Seiya Suzuki,CHC,673548,151.0,571.0,651.0,140.0,74.0,31.0,3.0,32.0,75.0,103.0,71.0,1.0,164.0,1.0,8.0,0.0,13.0,5.0,2.0,0.245,0.262,0.478,0.512
Tommy Pham,PIT,502054,120.0,392.0,449.0,96.0,68.0,17.0,1.0,10.0,44.0,52.0,50.0,3.0,94.0,2.0,5.0,0.0,12.0,5.0,3.0,0.245,0.258,0.37,0.41
Leo Rivas,SEA,660844,48.0,90.0,111.0,22.0,18.0,2.0,0.0,2.0,19.0,9.0,20.0,0.0,24.0,1.0,0.0,0.0,1.0,6.0,0.0,0.244,0.187,0.333,0.275
Michael Massey,KCR,686681,77.0,262.0,277.0,64.0,52.0,9.0,0.0,3.0,20.0,20.0,9.0,0.0,43.0,1.0,4.0,1.0,3.0,2.0,1.0,0.244,0.243,0.313,0.349
Wenceel Perez,DET,672761,100.0,344.0,383.0,84.0,50.0,17.0,4.0,13.0,47.0,43.0,31.0,0.0,87.0,3.0,5.0,0.0,5.0,8.0,3.0,0.244,0.251,0.43,0.409
Dansby Swanson,CHC,621020,159.0,590.0,645.0,144.0,93.0,24.0,3.0,24.0,84.0,77.0,47.0,1.0,168.0,2.0,5.0,1.0,9.0,20.0,3.0,0.244,0.276,0.417,0.497
Addison Barger,TOR,680718,135.0,460.0,502.0,112.0,58.0,32.0,1.0,21.0,61.0,74.0,36.0,4.0,121.0,3.0,2.0,0.0,8.0,4.0,1.0,0.243,0.268,0.454,0.477
Jose Tena,WSN,677588,50.0,152.0,169.0,37.0,22.0,13.0,2.0,0.0,19.0,16.0,15.0,0.0,37.0,1.0,1.0,0.0,4.0,3.0,1.0,0.243,0.255,0.355,0.37
Jeff McNeil,NYM,643446,122.0,399.0,462.0,97.0,59.0,21.0,5.0,12.0,42.0,54.0,49.0,4.0,55.0,8.0,4.0,2.0,5.0,3.0,0.0,0.243,0.272,0.411,0.401
Max Muncy,LAD,571970,100.0,313.0,388.0,76.0,45.0,10.0,2.0,19.0,48.0,67.0,64.0,2.0,83.0,6.0,5.0,0.0,4.0,4.0,0.0,0.243,0.251,0.47,0.522
Javier Sanoja,MIA,691594,120.0,313.0,342.0,76.0,44.0,22.0,4.0,6.0,40.0,38.0,19.0,0.0,41.0,2.0,4.0,4.0,2.0,6.0,5.0,0.243,0.257,0.396,0.346
Drew Waters,KCR,671221,71.0,206.0,219.0,50.0,40.0,6.0,3.0,1.0,21.0,14.0,11.0,0.0,60.0,2.0,0.0,0.0,2.0,5.0,3.0,0.243,0.236,0.316,0.323
Ian Happ,CHC,664023,150.0,569.0,663.0,138.0,83.0,32.0,0.0,23.0,87.0,79.0,87.0,2.0,151.0,2.0,5.0,0.0,8.0,6.0,3.0,0.243,0.267,0.42,0.472
Santiago Espinal,CIN,669289,114.0,301.0,328.0,73.0,61.0,12.0,0.0,0.0,25.0,16.0,21.0,0.0,38.0,1.0,2.0,3.0,11.0,2.0,1.0,0.243,0.233,0.282,0.296
Jazz Chisholm Jr.,NYY,665862,130.0,462.0,531.0,112.0,65.0,15.0,1.0,31.0,75.0,80.0,58.0,1.0,148.0,6.0,4.0,1.0,3.0,31.0,8.0,0.242,0.245,0.481,0.503
Jackson Holliday,BAL,702616,149.0,586.0,649.0,142.0,101.0,21.0,3.0,17.0,70.0,55.0,56.0,1.0,140.0,6.0,1.0,0.0,4.0,17.0,11.0,0.242,0.251,0.375,0.416
Adrian Del Castillo,ARI,680728,44.0,120.0,131.0,29.0,19.0,6.0,0.0,4.0,9.0,17.0,8.0,0.0,47.0,1.0,2.0,0.0,2.0,0.0,0.0,0.242,0.211,0.392,0.352
Ramon Urias,HOU,602104,112.0,352.0,391.0,85.0,57.0,17.0,0.0,11.0,33.0,44.0,27.0,0.0,88.0,2.0,10.0,0.0,6.0,3.0,0.0,0.241,0.238,0.384,0.388
Wyatt Langford,TEX,694671,134.0,489.0,573.0,118.0,70.0,25.0,1.0,22.0,73.0,62.0,74.0,3.0,151.0,5.0,5.0,0.0,9.0,22.0,6.0,0.241,0.247,0.431,0.456
Mauricio Dubon,HOU,643289,133.0,369.0,398.0,89.0,61.0,21.0,0.0,7.0,43.0,33.0,24.0,0.0,42.0,1.0,1.0,3.0,12.0,3.0,0.0,0.241,0.252,0.355,0.333
Wilmer Flores,SFG,527038,125.0,419.0,463.0,101.0,75.0,10.0,0.0,16.0,44.0,71.0,34.0,0.0,88.0,7.0,3.0,0.0,14.0,1.0,0.0,0.241,0.229,0.379,0.343
Kyle Higashioka,TEX,543309,94.0,303.0,327.0,73.0,47.0,14.0,1.0,11.0,33.0,47.0,20.0,0.0,72.0,2.0,2.0,0.0,5.0,3.0,1.0,0.241,0.244,0.403,0.407
Carlos Narvaez,BOS,665966,118.0,403.0,446.0,97.0,55.0,27.0,0.0,15.0,51.0,50.0,38.0,0.0,111.0,1.0,2.0,2.0,12.0,1.0,1.0,0.241,0.228,0.419,0.392
Ryan Ritter,COL,690022,60.0,187.0,207.0,45.0,32.0,9.0,3.0,1.0,22.0,18.0,10.0,0.0,61.0,5.0,1.0,4.0,7.0,3.0,1.0,0.241,0.212,0.337,0.275
Andrew Benintendi,CHW,643217,116.0,420.0,470.0,101.0,63.0,16.0,2.0,20.0,57.0,63.0,40.0,2.0,82.0,3.0,6.0,0.0,5.0,1.0,0.0,0.24,0.244,0.431,0.45
Ozzie Albies,ATL,645277,157.0,603.0,667.0,145.0,104.0,23.0,2.0,16.0,74.0,74.0,55.0,2.0,94.0,4.0,5.0,0.0,9.0,14.0,3.0,0.24,0.248,0.365,0.375
Kyle Schwarber,PHI,656941,162.0,604.0,724.0,145.0,64.0,23.0,2.0,56.0,111.0,132.0,108.0,6.0,197.0,11.0,1.0,0.0,4.0,10.0,2.0,0.24,0.263,0.563,0.601
Brooks Baldwin,CHW,681460,103.0,300.0,328.0,72.0,45.0,15.0,1.0,11.0,32.0,38.0,21.0,0.0,86.0,1.0,2.0,4.0,9.0,5.0,0.0,0.24,0.243,0.407,0.428
Spencer Torkelson,DET,679529,155.0,563.0,649.0,135.0,76.0,27.0,1.0,31.0,82.0,78.0,72.0,6.0,169.0,9.0,5.0,0.0,12.0,2.0,1.0,0.24,0.237,0.456,0.476
Colson Montgomery,CHW,695657,71.0,255.0,284.0,61.0,30.0,9.0,1.0,21.0,43.0,55.0,25.0,1.0,83.0,2.0,1.0,0.0,3.0,0.0,0.0,0.239,0.243,0.529,0.523
Andrew McCutchen,PIT,457705,135.0,477.0,551.0,114.0,79.0,22.0,0.0,13.0,51.0,57.0,67.0,5.0,118.0,2.0,3.0,0.0,12.0,1.0,1.0,0.239,0.267,0.367,0.429
Andy Ibanez,DET,628451,91.0,176.0,193.0,42.0,30.0,8.0,0.0,4.0,24.0,21.0,12.0,0.0,26.0,4.0,1.0,0.0,6.0,4.0,1.0,0.239,0.26,0.352,0.383
Matt Vierling,DET,663837,31.0,88.0,100.0,21.0,17.0,3.0,0.0,1.0,6.0,11.0,7.0,0.0,24.0,3.0,2.0,0.0,1.0,2.0,0.0,0.239,0.257,0.307,0.441
Randy Arozarena,SEA,668227,160.0,613.0,709.0,146.0,86.0,32.0,1.0,27.0,95.0,76.0,64.0,2.0,191.0,27.0,5.0,0.0,9.0,31.0,6.0,0.238,0.238,0.426,0.43
Daulton Varsho,TOR,662139,71.0,248.0,271.0,59.0,24.0,13.0,2.0,20.0,43.0,55.0,17.0,1.0,77.0,1.0,5.0,0.0,1.0,2.0,0.0,0.238,0.238,0.548,0.518
Spencer Steer,CIN,668715,146.0,509.0,568.0,121.0,77.0,21.0,2.0,21.0,66.0,75.0,51.0,0.0,129.0,5.0,2.0,1.0,12.0,7.0,1.0,0.238,0.226,0.411,0.373
Christian Walker,HOU,572233,154.0,585.0,640.0,139.0,87.0,24.0,1.0,27.0,72.0,88.0,40.0,1.0,177.0,11.0,4.0,0.0,10.0,2.0,1.0,0.238,0.243,0.421,0.444
Jose Trevino,CIN,624431,94.0,282.0,302.0,67.0,43.0,20.0,0.0,4.0,30.0,22.0,15.0,0.0,39.0,0.0,4.0,1.0,9.0,0.0,0.0,0.238,0.246,0.351,0.355
Luis Rengifo,LAA,650859,147.0,501.0,541.0,119.0,91.0,16.0,3.0,9.0,55.0,43.0,33.0,0.0,104.0,3.0,3.0,1.0,7.0,10.0,7.0,0.238,0.265,0.335,0.382
Jesus Sanchez,HOU,660821,134.0,451.0,497.0,107.0,68.0,21.0,4.0,14.0,61.0,48.0,42.0,1.0,110.0,2.0,2.0,0.0,10.0,13.0,3.0,0.237,0.253,0.395,0.455
Josh Bell,WSN,605137,140.0,468.0,533.0,111.0,72.0,16.0,1.0,22.0,54.0,63.0,57.0,1.0,88.0,5.0,3.0,0.0,15.0,0.0,3.0,0.237,0.27,0.417,0.497
Casey Schmitt,SFG,669477,95.0,312.0,348.0,74.0,47.0,15.0,0.0,12.0,34.0,40.0,27.0,1.0,83.0,5.0,3.0,1.0,6.0,0.0,0.0,0.237,0.264,0.401,0.443
Nolan Arenado,STL,571448,107.0,401.0,436.0,95.0,64.0,18.0,1.0,12.0,48.0,52.0,28.0,4.0,49.0,3.0,4.0,0.0,10.0,3.0,0.0,0.237,0.251,0.377,0.374
Royce Lewis,MIN,668904,106.0,376.0,403.0,89.0,58.0,18.0,0.0,13.0,36.0,52.0,25.0,0.0,80.0,0.0,2.0,0.0,7.0,12.0,2.0,0.237,0.251,0.388,0.41
Salvador Perez,KCR,521692,155.0,597.0,641.0,141.0,76.0,35.0,0.0,30.0,54.0,100.0,28.0,5.0,125.0,12.0,1.0,0.0,14.0,0.0,0.0,0.236,0.279,0.446,0.543
Brooks Lee,MIN,686797,139.0,487.0,527.0,115.0,83.0,15.0,1.0,16.0,50.0,64.0,31.0,0.0,92.0,4.0,5.0,0.0,11.0,3.0,1.0,0.236,0.24,0.37,0.379
Jake Burger,TEX,669394,103.0,356.0,376.0,84.0,52.0,15.0,1.0,16.0,43.0,53.0,12.0,0.0,93.0,5.0,3.0,0.0,3.0,1.0,1.0,0.236,0.256,0.419,0.488
Cam Smith,HOU,701358,134.0,441.0,493.0,104.0,71.0,21.0,3.0,9.0,55.0,51.0,43.0,0.0,137.0,7.0,2.0,0.0,11.0,8.0,1.0,0.236,0.242,0.358,0.384
Jo Adell,LAA,666176,152.0,526.0,573.0,124.0,68.0,18.0,1.0,37.0,63.0,98.0,33.0,0.0,151.0,10.0,1.0,0.0,10.0,5.0,1.0,0.236,0.273,0.485,0.565
Jose Caballero,NYY,676609,126.0,314.0,370.0,74.0,50.0,18.0,1.0,5.0,52.0,36.0,47.0,0.0,98.0,3.0,2.0,4.0,1.0,49.0,11.0,0.236,0.224,0.347,0.334
Ke'Bryan Hayes,CIN,663647,152.0,527.0,570.0,124.0,100.0,16.0,3.0,5.0,50.0,49.0,36.0,1.0,111.0,5.0,1.0,1.0,13.0,12.0,3.0,0.235,0.245,0.306,0.35
Jake Bauers,MIL,641343,86.0,183.0,218.0,43.0,27.0,9.0,0.0,7.0,28.0,28.0,32.0,1.0,59.0,2.0,1.0,0.0,1.0,8.0,1.0,0.235,0.248,0.399,0.471
Trent Grisham,NYY,663757,143.0,494.0,581.0,116.0,72.0,9.0,1.0,34.0,87.0,74.0,82.0,0.0,137.0,4.0,1.0,0.0,7.0,3.0,2.0,0.235,0.257,0.464,0.509
Dane Myers,MIA,667472,106.0,307.0,333.0,72.0,56.0,10.0,0.0,6.0,29.0,31.0,23.0,0.0,77.0,2.0,1.0,0.0,12.0,18.0,5.0,0.235,0.26,0.326,0.415
Eli White,ATL,642201,105.0,256.0,271.0,60.0,39.0,8.0,3.0,10.0,43.0,35.0,11.0,1.0,70.0,2.0,1.0,1.0,2.0,10.0,1.0,0.234,0.26,0.406,0.45
Luisangel Acuna,NYM,682668,95.0,175.0,193.0,41.0,34.0,7.0,0.0,0.0,30.0,8.0,13.0,0.0,37.0,2.0,1.0,2.0,6.0,16.0,1.0,0.234,0.244,0.274,0.31
Miguel Vargas,CHW,678246,138.0,504.0,569.0,118.0,68.0,32.0,2.0,16.0,80.0,60.0,56.0,0.0,100.0,6.0,3.0,0.0,9.0,6.0,0.0,0.234,0.248,0.401,0.418
